,id,created_at,updated_at,event_type,payload,uuid,device_type,coordinates,path,path_coordinates
62,2714,11:40.5,11:40.5,civilian,"{""uuid"":""5QOZlOxJECBv"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.508568,-67.072667"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Papa online!""},""path"":""44E855A4AE30""}",5QOZlOxJECBv,papa-duck,"[18.508568, -67.072667]",44E855A4AE30,"[array([ 18.508568, -67.072667])]"
63,2715,12:33.1,12:33.1,civilian,"{""uuid"":""cVDXZ9fljbIh"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.508568,-67.072667"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""44E855A4AE30""}",cVDXZ9fljbIh,papa-duck,"[18.508568, -67.072667]",44E855A4AE30,"[array([ 18.508568, -67.072667])]"
76,2728,21:32.9,21:32.9,civilian,"{""uuid"":""Qnhq1G5Rdwuv"",""civilian"":{""info"":{""name"":""Millie Morales"",""phone"":""7875608448"",""location"":""18.508555,-67.072667"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""Please help us""},""path"":""C4408CBF713C""}",Qnhq1G5Rdwuv,papa-duck,"[18.508555, -67.072667]",C4408CBF713C,"[array([ 18.509781, -67.069342])]"
125,2777,08:31.4,08:31.4,civilian,"{""uuid"":""T1PaUmJjbFcO"",""civilian"":{""info"":{""name"":""Nick"",""phone"":""1234567890"",""location"":""18.509071,-67.074898"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""50AD81E350CC,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",T1PaUmJjbFcO,papa-duck,"[18.509071, -67.074898]","50AD81E350CC,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.509071, -67.074898]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
127,2779,08:37.6,08:37.6,civilian,"{""uuid"":""T1PaUmJjbFcO"",""civilian"":{""info"":{""name"":""Nick"",""phone"":""1234567890"",""location"":""18.509071,-67.074898"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""50AD81E350CC,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",T1PaUmJjbFcO,papa-duck,"[18.509071, -67.074898]","50AD81E350CC,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.509071, -67.074898]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
129,2781,08:38.3,08:38.3,civilian,"{""uuid"":""T1PaUmJjbFcO"",""civilian"":{""info"":{""name"":""Nick"",""phone"":""1234567890"",""location"":""18.509071,-67.074898"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""50AD81E350CC,705BA9BF713C,44E855A4AE30""}",T1PaUmJjbFcO,papa-duck,"[18.509071, -67.074898]","50AD81E350CC,705BA9BF713C,44E855A4AE30","[array([ 18.509071, -67.074898]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667])]"
155,2807,15:05.4,15:05.4,civilian,"{""uuid"":""0IUUAhmA99lq"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.509224,-67.077522"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""A85FABBF713C,705BA9BF713C,44E855A4AE30""}",0IUUAhmA99lq,papa-duck,"[18.509224, -67.077522]","A85FABBF713C,705BA9BF713C,44E855A4AE30","[array([ 18.509224, -67.077522]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667])]"
157,2809,15:13.0,15:13.0,civilian,"{""uuid"":""0IUUAhmA99lq"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.509224,-67.077522"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""A85FABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30""}",0IUUAhmA99lq,papa-duck,"[18.509224, -67.077522]","A85FABBF713C,705BA9BF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.509224, -67.077522]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
175,2828,18:31.6,18:31.6,civilian,"{""uuid"":""2lmrjdoJ237Z"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.510475,-67.079757"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""9463ABBF713C,705BA9BF713C,44E855A4AE30""}",2lmrjdoJ237Z,papa-duck,"[18.510475, -67.079757]","9463ABBF713C,705BA9BF713C,44E855A4AE30","[array([ 18.510475, -67.079757]), array([ 18.511811, -67.074191]), array([ 18.508568, -67.072667])]"
177,2829,18:37.4,18:37.4,civilian,"{""uuid"":""2lmrjdoJ237Z"",""civilian"":{""info"":{""name"":""Nick Feuer"",""phone"":""1234567890"",""location"":""18.510475,-67.079757"",""occupants"":""2""},""status"":{""danger"":""1"",""vacant"":""0""},""needs"":{""first-aid"":""1"",""water"":""1"",""food"":""0""},""message"":""I need help!""},""path"":""9463ABBF713C,A85FABBF713C,AC65ABBF713C,44E855A4AE30""}",2lmrjdoJ237Z,papa-duck,"[18.510475, -67.079757]","9463ABBF713C,A85FABBF713C,AC65ABBF713C,44E855A4AE30","[array([ 18.510475, -67.079757]), array([ 18.509224, -67.077522]), array([ 18.508568, -67.072667]), array([ 18.508568, -67.072667])]"
